Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate,GP,Year,TrackTemp,AirTemp,TyreAge,LapTime_s
0 days 01:01:34.025000,GAS,10,0 days 00:01:32.010000,2.0,1.0,,,0 days 00:00:19.016000,0 days 00:00:38.149000,0 days 00:00:34.845000,0 days 01:00:21.140000,0 days 01:00:59.289000,0 days 01:01:34.134000,282.0,291.0,207.0,332.0,False,MEDIUM,2.0,True,Alpine,0 days 01:00:02.015000,,1,19.0,True,TRACK LIMITS AT TURN 6 LAP 2 ,False,True,Abu Dhabi Grand Prix,2025,31.06168831168831,26.67402597402597,2.0,92.01
0 days 01:03:04.889000,GAS,10,0 days 00:01:30.864000,3.0,1.0,,,0 days 00:00:18.851000,0 days 00:00:38.265000,0 days 00:00:33.748000,0 days 01:01:52.985000,0 days 01:02:31.250000,0 days 01:03:04.998000,280.0,309.0,209.0,328.0,True,MEDIUM,3.0,True,Alpine,0 days 01:01:34.025000,,1,19.0,False,,False,True,Abu Dhabi Grand Prix,2025,31.06168831168831,26.67402597402597,3.0,90.864
0 days 01:04:35.558000,GAS,10,0 days 00:01:30.669000,4.0,1.0,,,0 days 00:00:18.441000,0 days 00:00:38.458000,0 days 00:00:33.770000,0 days 01:03:23.439000,0 days 01:04:01.897000,0 days 01:04:35.667000,280.0,301.0,208.0,319.0,True,MEDIUM,4.0,True,Alpine,0 days 01:03:04.889000,,1,19.0,False,,False,True,Abu Dhabi Grand Prix,2025,31.06168831168831,26.67402597402597,4.0,90.669
0 days 01:06:06.466000,GAS,10,0 days 00:01:30.908000,5.0,1.0,,,0 days 00:00:18.458000,0 days 00:00:38.448000,0 days 00:00:34.002000,0 days 01:04:54.125000,0 days 01:05:32.573000,0 days 01:06:06.575000,281.0,313.0,208.0,316.0,False,MEDIUM,5.0,True,Alpine,0 days 01:04:35.558000,,1,19.0,False,,False,True,Abu Dhabi Grand Prix,2025,31.06168831168831,26.67402597402597,5.0,90.908
0 days 01:07:37.357000,GAS,10,0 days 00:01:30.891000,6.0,1.0,,,0 days 00:00:18.501000,0 days 00:00:38.804000,0 days 00:00:33.586000,0 days 01:06:25.076000,0 days 01:07:03.880000,0 days 01:07:37.466000,280.0,302.0,207.0,304.0,False,MEDIUM,6.0,True,Alpine,0 days 01:06:06.466000,,1,19.0,False,,False,True,Abu Dhabi Grand Prix,2025,31.06168831168831,26.67402597402597,6.0,90.891
0 days 01:09:07.894000,GAS,10,0 days 00:01:30.537000,7.0,1.0,,,0 days 00:00:18.345000,0 days 00:00:38.721000,0 days 00:00:33.471000,0 days 01:07:55.811000,0 days 01:08:34.532000,0 days 01:09:08.003000,281.0,301.0,209.0,311.0,True,MEDIUM,7.0,True,Alpine,0 days 01:07:37.357000,,1,19.0,False,,False,True,Abu Dhabi Grand Prix,2025,31.06168831168831,26.67402597402597,7.0,90.537
0 days 01:10:38.506000,GAS,10,0 days 00:01:30.612000,8.0,1.0,,,0 days 00:00:18.312000,0 days 00:00:38.818000,0 days 00:00:33.482000,0 days 01:09:26.315000,0 days 01:10:05.133000,0 days 01:10:38.615000,280.0,298.0,207.0,308.0,False,MEDIUM,8.0,True,Alpine,0 days 01:09:07.894000,,1,18.0,False,,False,True,Abu Dhabi Grand Prix,2025,31.06168831168831,26.67402597402597,8.0,90.612
0 days 01:12:08.906000,GAS,10,0 days 00:01:30.400000,9.0,1.0,,,0 days 00:00:18.189000,0 days 00:00:38.750000,0 days 00:00:33.461000,0 days 01:10:56.804000,0 days 01:11:35.554000,0 days 01:12:09.015000,283.0,298.0,207.0,306.0,True,MEDIUM,9.0,True,Alpine,0 days 01:10:38.506000,,1,16.0,False,,False,True,Abu Dhabi Grand Prix,2025,31.06168831168831,26.67402597402597,9.0,90.4
0 days 01:13:39.492000,GAS,10,0 days 00:01:30.586000,10.0,1.0,,,0 days 00:00:18.287000,0 days 00:00:38.737000,0 days 00:00:33.562000,0 days 01:12:27.302000,0 days 01:13:06.039000,0 days 01:13:39.601000,282.0,295.0,208.0,307.0,False,MEDIUM,10.0,True,Alpine,0 days 01:12:08.906000,,1,16.0,False,,False,True,Abu Dhabi Grand Prix,2025,31.06168831168831,26.67402597402597,10.0,90.586
0 days 01:15:10.627000,GAS,10,0 days 00:01:31.135000,11.0,1.0,,,0 days 00:00:18.478000,0 days 00:00:38.961000,0 days 00:00:33.696000,0 days 01:13:58.079000,0 days 01:14:37.040000,0 days 01:15:10.736000,274.0,291.0,207.0,302.0,False,MEDIUM,11.0,True,Alpine,0 days 01:13:39.492000,,1,16.0,True,TRACK LIMITS AT TURN 1 LAP 11 ,False,True,Abu Dhabi Grand Prix,2025,31.06168831168831,26.67402597402597,11.0,91.135
0 days 01:16:42.417000,GAS,10,0 days 00:01:31.790000,12.0,1.0,,,0 days 00:00:18.379000,0 days 00:00:39.076000,0 days 00:00:34.335000,0 days 01:15:29.115000,0 days 01:16:08.191000,0 days 01:16:42.526000,279.0,293.0,207.0,304.0,False,MEDIUM,12.0,True,Alpine,0 days 01:15:10.627000,,1,16.0,False,,False,True,Abu Dhabi Grand Prix,2025,31.06168831168831,26.67402597402597,12.0,91.79
0 days 01:21:37.316000,GAS,10,0 days 00:01:29.817000,15.0,2.0,,,0 days 00:00:18.141000,0 days 00:00:38.668000,0 days 00:00:33.008000,0 days 01:20:25.749000,0 days 01:21:04.417000,0 days 01:21:37.425000,281.0,289.0,208.0,298.0,True,HARD,2.0,True,Alpine,0 days 01:20:07.499000,,1,20.0,False,,False,True,Abu Dhabi Grand Prix,2025,31.06168831168831,26.67402597402597,2.0,89.817
